Key (ST_Code),ST Code / Abbr,Product Code,Product Name,Category,Loai Hang,KFM Qty (SL Chuyen),ABA Qty (SL Giao),Diff (Lech),Loai Chenh Lech
VPC_8938502525351DEL,VPC,"=""8938502525351DEL""",THỌ PHÁT - BÁNH BAO THỊT HEO TRỨNG MUỐI 170G,,,3,0,3,Đã tạo phiếu KFM (Lệch số lượng)
A140_8938502525351DEL,A140,"=""8938502525351DEL""",THỌ PHÁT - BÁNH BAO THỊT HEO TRỨNG MUỐI 170G,,,3,0,3,Đã tạo phiếu KFM (Lệch số lượng)
A120_8938502525351DEL,A120,"=""8938502525351DEL""",THỌ PHÁT - BÁNH BAO THỊT HEO TRỨNG MUỐI 170G,,,3,0,3,Đã tạo phiếu KFM (Lệch số lượng)
A110_8938502525351DEL,A110,"=""8938502525351DEL""",THỌ PHÁT - BÁNH BAO THỊT HEO TRỨNG MUỐI 170G,,,3,0,3,Đã tạo phiếu KFM (Lệch số lượng)
CLD_8938502525351DEL,CLD,"=""8938502525351DEL""",THỌ PHÁT - BÁNH BAO THỊT HEO TRỨNG MUỐI 170G,,,3,0,3,Đã tạo phiếu KFM (Lệch số lượng)
A106_8938502525351DEL,A106,"=""8938502525351DEL""",THỌ PHÁT - BÁNH BAO THỊT HEO TRỨNG MUỐI 170G,,,3,0,3,Đã tạo phiếu KFM (Lệch số lượng)
A101_8938502525351DEL,A101,"=""8938502525351DEL""",THỌ PHÁT - BÁNH BAO THỊT HEO TRỨNG MUỐI 170G,,,3,0,3,Đã tạo phiếu KFM (Lệch số lượng)
VH6_8938502525351DEL,VH6,"=""8938502525351DEL""",THỌ PHÁT - BÁNH BAO THỊT HEO TRỨNG MUỐI 170G,,,3,0,3,Đã tạo phiếu KFM (Lệch số lượng)
LVY_8938502525351DEL,LVY,"=""8938502525351DEL""",THỌ PHÁT - BÁNH BAO THỊT HEO TRỨNG MUỐI 170G,,,3,0,3,Đã tạo phiếu KFM (Lệch số lượng)
Q7R_8938502525351DEL,Q7R,"=""8938502525351DEL""",THỌ PHÁT - BÁNH BAO THỊT HEO TRỨNG MUỐI 170G,,,3,0,3,Đã tạo phiếu KFM (Lệch số lượng)
A150_8938502525351DEL,A150,"=""8938502525351DEL""",THỌ PHÁT - BÁNH BAO THỊT HEO TRỨNG MUỐI 170G,,,3,0,3,Đã tạo phiếu KFM (Lệch số lượng)
HTP_8938502525351DEL,HTP,"=""8938502525351DEL""",THỌ PHÁT - BÁNH BAO THỊT HEO TRỨNG MUỐI 170G,,,3,0,3,Đã tạo phiếu KFM (Lệch số lượng)
THN_8938502525351DEL,THN,"=""8938502525351DEL""",THỌ PHÁT - BÁNH BAO THỊT HEO TRỨNG MUỐI 170G,,,3,0,3,Đã tạo phiếu KFM (Lệch số lượng)
HTN_8938502525351DEL,HTN,"=""8938502525351DEL""",THỌ PHÁT - BÁNH BAO THỊT HEO TRỨNG MUỐI 170G,,,3,0,3,Đã tạo phiếu KFM (Lệch số lượng)
A101_8938502525351,A101,"=""8938502525351""",THỌ PHÁT - BÁNH BAO THỊT HEO TRỨNG MUỐI 4X170G,Meat,Fix weight,0,3,-3,Chưa tạo phiếu KFM
VH6_8938502525351,VH6,"=""8938502525351""",THỌ PHÁT - BÁNH BAO THỊT HEO TRỨNG MUỐI 4X170G,Meat,Fix weight,0,3,-3,Chưa tạo phiếu KFM
THN_8938502525351,THN,"=""8938502525351""",THỌ PHÁT - BÁNH BAO THỊT HEO TRỨNG MUỐI 4X170G,Meat,Fix weight,0,3,-3,Chưa tạo phiếu KFM
HTN_8938502525351,HTN,"=""8938502525351""",THỌ PHÁT - BÁNH BAO THỊT HEO TRỨNG MUỐI 4X170G,Meat,Fix weight,0,3,-3,Chưa tạo phiếu KFM
VPC_8938502525351,VPC,"=""8938502525351""",THỌ PHÁT - BÁNH BAO THỊT HEO TRỨNG MUỐI 4X170G,Meat,Fix weight,0,3,-3,Chưa tạo phiếu KFM
LVY_8938502525351,LVY,"=""8938502525351""",THỌ PHÁT - BÁNH BAO THỊT HEO TRỨNG MUỐI 4X170G,Meat,Fix weight,0,3,-3,Chưa tạo phiếu KFM
Q7R_8938502525351,Q7R,"=""8938502525351""",THỌ PHÁT - BÁNH BAO THỊT HEO TRỨNG MUỐI 4X170G,Meat,Fix weight,0,3,-3,Chưa tạo phiếu KFM
A150_8938502525351,A150,"=""8938502525351""",THỌ PHÁT - BÁNH BAO THỊT HEO TRỨNG MUỐI 4X170G,Meat,Fix weight,0,3,-3,Chưa tạo phiếu KFM
HTP_8938502525351,HTP,"=""8938502525351""",THỌ PHÁT - BÁNH BAO THỊT HEO TRỨNG MUỐI 4X170G,Meat,Fix weight,0,3,-3,Chưa tạo phiếu KFM
A120_8938502525351,A120,"=""8938502525351""",THỌ PHÁT - BÁNH BAO THỊT HEO TRỨNG MUỐI 4X170G,Meat,Fix weight,0,3,-3,Chưa tạo phiếu KFM
A110_8938502525351,A110,"=""8938502525351""",THỌ PHÁT - BÁNH BAO THỊT HEO TRỨNG MUỐI 4X170G,Meat,Fix weight,0,3,-3,Chưa tạo phiếu KFM
