Key (ST_Code),ST Code / Abbr,Product Code,Product Name,Category,Loai Hang,KFM Qty (SL Chuyen),ABA Qty (SL Giao),Diff (Lech),Loai Chenh Lech
A209_8938503131421,A209,"=""8938503131421""",ĐÀ LẠT MILK - SỮA CHUA UỐNG CÓ ĐƯỜNG 500ML,Meat,Fix weight,4,8,-4,Đã tạo phiếu KFM (Lệch số lượng)
A209_8938503131452,A209,"=""8938503131452""",ĐÀ LẠT MILK - SỮA CHUA UỐNG DÂU TÂY 500ML,Meat,Fix weight,3,6,-3,Đã tạo phiếu KFM (Lệch số lượng)
A209_8938503131377,A209,"=""8938503131377""",ĐÀ LẠT MILK - SỮA CHUA CÓ ĐƯỜNG 500G,Meat,Fix weight,3,6,-3,Đã tạo phiếu KFM (Lệch số lượng)
A209_8938503131971,A209,"=""8938503131971""",ĐÀ LẠT MILK - SỮA CHUA VỊ TỰ NHIÊN 500G,Meat,Fix weight,3,6,-3,Đã tạo phiếu KFM (Lệch số lượng)
A209_8938503131810,A209,"=""8938503131810""",ĐÀ LẠT MILK - SỮA TƯƠI THANH TRÙNG 950ML,Meat,Fix weight,8,16,-8,Đã tạo phiếu KFM (Lệch số lượng)
A209_8938503131742,A209,"=""8938503131742""",ĐÀ LẠT MILK - SỮA TƯƠI THANH TRÙNG 450ML,Meat,Fix weight,8,16,-8,Đã tạo phiếu KFM (Lệch số lượng)
A209_8935318100093,A209,"=""8935318100093""",ĐÀ LẠT MILK -  SỮA TƯƠI THANH TRÙNG CHUỐI HỘP 180ML,Meat,Fix weight,8,16,-8,Đã tạo phiếu KFM (Lệch số lượng)
A209_8938503131728,A209,"=""8938503131728""",ĐÀ LẠT MILK - SỮA TƯƠI THANH TRÙNG SÔCÔLA 180ML,Meat,Fix weight,8,16,-8,Đã tạo phiếu KFM (Lệch số lượng)
A209_8938503131780,A209,"=""8938503131780""",ĐÀ LẠT MILK - SỮA TƯƠI THANH TRÙNG 180ML,Meat,Fix weight,8,16,-8,Đã tạo phiếu KFM (Lệch số lượng)
A209_8938503131056,A209,"=""8938503131056""",ĐÀ LẠT MILK - SỮA TƯƠI THANH TRÙNG HƯƠNG DÂU 180ML,Meat,Fix weight,8,16,-8,Đã tạo phiếu KFM (Lệch số lượng)
A209_8935318100062,A209,"=""8935318100062""",ĐÀ LẠT MILK -  SỮA TƯƠI THANH TRÙNG ÍT ĐƯỜNG 450ML,Meat,Fix weight,6,12,-6,Đã tạo phiếu KFM (Lệch số lượng)
A209_8938511301595,A209,"=""8938511301595""",THƠM - TRÀ SỮA ÔLONG TỨ QUÝ 250ML,Meat,Fix weight,6,14,-8,Đã tạo phiếu KFM (Lệch số lượng)
A209_8938511301618,A209,"=""8938511301618""",THƠM - HỒNG TRÀ SỮA BÁ TƯỚC 250ML,Meat,Fix weight,6,14,-8,Đã tạo phiếu KFM (Lệch số lượng)
A209_8938511301731,A209,"=""8938511301731""",THƠM - TÀU HŨ TRÀ SỮA VỊ HẠNH NHÂN 130G,Meat,Fix weight,3,7,-4,Đã tạo phiếu KFM (Lệch số lượng)
A209_8938511301212,A209,"=""8938511301212""",THƠM - TÀU HŨ MATCHA 130G,Meat,Fix weight,3,7,-4,Đã tạo phiếu KFM (Lệch số lượng)
A209_8938531579028,A209,"=""8938531579028""",DELIFRES - SỮA TƯƠI THANH TRÙNG KHÔNG ĐƯỜNG CHAI 1.8L,Meat,Fix weight,3,6,-3,Đã tạo phiếu KFM (Lệch số lượng)
A209_8936000750206,A209,"=""8936000750206""",ICHIBAN - ĐẬU HŨ TRẮNG ICHI - SAKURA 240G,Meat,Fix weight,8,16,-8,Đã tạo phiếu KFM (Lệch số lượng)
VGP_11498,VGP,"=""11498""",HỖN HỢP BÔNG CẢI VÀ CÀ RỐT 300G,Meat,Fix weight,0,1,-1,Chưa tạo phiếu KFM
VGP_11682,VGP,"=""11682""",BÔNG CẢI TRẮNG SƠ CHẾ 200G,Meat,Fix weight,0,1,-1,Chưa tạo phiếu KFM
VGP_11109,VGP,"=""11109""",HỖN HỢP BÔNG CẢI SƠ CHẾ 250G,Meat,Fix weight,0,3,-3,Chưa tạo phiếu KFM
VGP_8938508605026,VGP,"=""8938508605026""",RRFARN- CẢI XOĂN KALE VIETGAP 100G,Meat,Fix weight,0,1,-1,Chưa tạo phiếu KFM
VGP_SP001589,VGP,"=""SP001589""",BBANG HOUSE - BÁNH MOUSSE DÂU 150G,Meat,Fix weight,0,1,-1,Chưa tạo phiếu KFM
VGP_8936110051842,VGP,"=""8936110051842""",SWEETHOME - BÁNH BÔNG LAN KEM TUYẾT 90G,Meat,Fix weight,0,4,-4,Chưa tạo phiếu KFM
VGP_11566,VGP,"=""11566""",BẮP CHUỐI BÀO 200G,Meat,Fix weight,0,3,-3,Chưa tạo phiếu KFM
VGP_8934673300179,VGP,"=""8934673300179""",VINAMILK - SCU PROBI NGHỆ MẬT ONG 4*130ML,Meat,Fix weight,0,6,-6,Chưa tạo phiếu KFM
VGP_11106,VGP,"=""11106""",BÔNG CẢI XANH SƠ CHẾ 250G,Meat,Fix weight,0,7,-7,Chưa tạo phiếu KFM
VGP_8938504823073,VGP,"=""8938504823073""",TIẾN TẤN ĐẠT - LẠP XƯỞNG TƯƠI VỊ TIÊU 250G,Meat,Fix weight,0,2,-2,Chưa tạo phiếu KFM
VGP_8938529045030,VGP,"=""8938529045030""",NGỌC THƠM - GIÒ TAI LƯỠI XÀO 250G,Meat,Fix weight,0,4,-4,Chưa tạo phiếu KFM
VGP_8938500844157,VGP,"=""8938500844157""",VỊ NGUYÊN - ĐẬU HŨ CHIÊN LƯỚT VÁN 300G,Meat,Fix weight,0,6,-6,Chưa tạo phiếu KFM
