Key (ST_Code),ST Code / Abbr,Product Code,Product Name,Category,Loai Hang,KFM Qty (SL Chuyen),ABA Qty (SL Giao),Diff (Lech),Loai Chenh Lech
A225_40338729,A225,"=""40338729""",MONTE - VÁNG SỮA CHOCOLATE LỐC 4 X 55G,Meat,Fix weight,6,0,6,Đã tạo phiếu KFM (Lệch số lượng)
A225_40338736,A225,"=""40338736""",MONTE - VÁNG SỮA VANI LỐC 4 X 55G,Meat,Fix weight,6,0,6,Đã tạo phiếu KFM (Lệch số lượng)
A225_8935067703385,A225,"=""8935067703385""",HẢI NAM - TÔM KHÔ SIZE L 100G,Meat,Fix weight,4,0,4,Đã tạo phiếu KFM (Lệch số lượng)
A225_8938552425229,A225,"=""8938552425229""",ÚT MAU - TÔM KHÔ CANH ĐẶC BIỆT 35G,Meat,Fix weight,6,0,6,Đã tạo phiếu KFM (Lệch số lượng)
A225_8936067100037,A225,"=""8936067100037""",CHEN LIN- LẠP XƯỞNG TƯƠI 300G,Meat,Fix weight,6,0,6,Đã tạo phiếu KFM (Lệch số lượng)
A225_8935058911645,A225,"=""8935058911645""",CP - XÚC XÍCH COCKTAIL XÔNG KHÓI 250G,Meat,Fix weight,6,0,6,Đã tạo phiếu KFM (Lệch số lượng)
A225_8935101608072,A225,"=""8935101608072""",ĐỨC VIỆT - XÚC XÍCH SỤN NƯỚNG BULGOGI 450G,Meat,Fix weight,8,0,8,Đã tạo phiếu KFM (Lệch số lượng)
A225_8938520258347,A225,"=""8938520258347""",NTC - CHẢ LỤA NẤM TƯƠI 250G,Meat,Fix weight,5,0,5,Đã tạo phiếu KFM (Lệch số lượng)
A225_8936146440467,A225,"=""8936146440467""",G - CHẢ LỤA BÌ ỚT XIÊM XANH 500G,Meat,Fix weight,10,0,10,Đã tạo phiếu KFM (Lệch số lượng)
A225_8936146442249,A225,"=""8936146442249""",G - CHẢ LỤA BÌ ỚT XIÊM XANH QUE 50G,Meat,Fix weight,18,0,18,Đã tạo phiếu KFM (Lệch số lượng)
A225_8936146447305,A225,"=""8936146447305""",G - NEM CHUA BÌ ỚT XIÊM XANH 180G,Meat,Fix weight,8,0,8,Đã tạo phiếu KFM (Lệch số lượng)
A225_8936146446728,A225,"=""8936146446728""",G - CHẢ LỤA 200G,Meat,Fix weight,8,0,8,Đã tạo phiếu KFM (Lệch số lượng)
