Key (ST_Code),ST Code / Abbr,Product Code,Product Name,Category,Loai Hang,KFM Qty (SL Chuyen),ABA Qty (SL Giao),Diff (Lech),Loai Chenh Lech
THN_3415584126188,THN,"=""3415584126188""",HAAGEN DAZS - KEM TRÀ XANH 100ML,Frozen,Fix weight,0,4,-4,Chưa tạo phiếu KFM
THN_8935360200598,THN,"=""8935360200598""",SAVORA - THĂN NGOẠI BÒ HOKUBEE ÚC ĐL - 200G,Frozen,Fix weight,0,4,-4,Chưa tạo phiếu KFM
THN_8938535604412,THN,"=""8938535604412""",TPN - TÔM THẺ NÕN SIZE 51-60 150G,Frozen,Fix weight,0,10,-10,Chưa tạo phiếu KFM
THN_8936077110286,THN,"=""8936077110286""",BAMBOO - HÁ CẢO BABY 300G,Frozen,Fix weight,0,4,-4,Chưa tạo phiếu KFM
THN_8938555386015,THN,"=""8938555386015""",OPLANT - BÁNH MÌ TƯƠI VIỆT NAM ĐL (10X30G),Frozen,Fix weight,0,12,-12,Chưa tạo phiếu KFM
THN_3415581533187,THN,"=""3415581533187""",HAAGEN DAZS - KEM SÔ CÔ LA BỈ 100ML,Frozen,Fix weight,0,4,-4,Chưa tạo phiếu KFM
THN_8934717401336,THN,"=""8934717401336""",BIBIGO - BÁNH XẾP MANDU NHÂN HẢI SẢN 350G,Frozen,Fix weight,0,4,-4,Chưa tạo phiếu KFM
THN_8935319710130,THN,"=""8935319710130""",CP - GÀ CHIÊN POPCORN 300G,Frozen,Fix weight,0,8,-8,Chưa tạo phiếu KFM
THN_8938532826008,THN,"=""8938532826008""",O'SMILES - BÁNH MÌ TƯƠI ĐL 350G (5x70G),Frozen,Fix weight,0,26,-26,Chưa tạo phiếu KFM
THN_8934673600699,THN,"=""8934673600699""",VINAMILK - KEM GELATO DỪA 90ML,Frozen,Fix weight,0,4,-4,Chưa tạo phiếu KFM
THN_8936190860716,THN,"=""8936190860716""",FRESHFOCO-BA CHỈ BÒ ÚC NGŨ CỐC 200G ĐÔNG LẠNH,Frozen,Fix weight,0,24,-24,Chưa tạo phiếu KFM
THN_8936077113829,THN,"=""8936077113829""",BAMBOO - BÁNH BAO GẠO LỨT NHÂN THỊT BÒ PHÔ MAI 40G*6,Frozen,Fix weight,0,4,-4,Chưa tạo phiếu KFM
THN_3415581139181,THN,"=""3415581139181""",HAAGEN DAZS - KEM HẠT MACADAMIA 100ML,Frozen,Fix weight,0,2,-2,Chưa tạo phiếu KFM
THN_8936190860464,THN,"=""8936190860464""",FRESHFOCO- BA RỌI HEO NGA 300G ĐÔNG LẠNH,Frozen,Fix weight,0,4,-4,Chưa tạo phiếu KFM
THN_8935297105409,THN,"=""8935297105409""",BIBIGO - BÁNH RÁN KIỂU HÀN QUỐC HOTTEOK NHÂN PIZZA 300G,Frozen,Fix weight,0,2,-2,Chưa tạo phiếu KFM
THN_8906078780894,THN,"=""8906078780894""",FARM BEST - KHOAI TÂY ĐÔNG LẠNH SỢI NHỎ 1KG,Frozen,Fix weight,0,4,-4,Chưa tạo phiếu KFM
THN_8936013231662,THN,"=""8936013231662""",SG FOOD - MỲ Ý XỐT KEM THỊT XÔNG KHÓI 250G,Frozen,Fix weight,0,2,-2,Chưa tạo phiếu KFM
