Key (ST_Code),ST Code / Abbr,Product Code,Product Name,Category,Loai Hang,KFM Qty (SL Chuyen),ABA Qty (SL Giao),Diff (Lech),Loai Chenh Lech
BQI_8935058921422,BQI,"=""8935058921422""",CP - XÚC XÍCH PHÔ MAI TAN CHẢY 200G,Meat,Fix weight,0,4,-4,Chưa tạo phiếu KFM
BQI_8935304205849,BQI,"=""8935304205849""",O'FOOD - BÁNH GẠO CHẢ CÁ 340G,Meat,Fix weight,0,4,-4,Chưa tạo phiếu KFM
BQI_8938512932026,BQI,"=""8938512932026""",SG MILK - SỮA CHUA NẾP CẨM SÀI GÒN 120G,Meat,Fix weight,0,8,-8,Chưa tạo phiếu KFM
BQI_8935101608102,BQI,"=""8935101608102""",JONGGA - KIM CHI CẢI THẢO CẮT LÁT 450G,Meat,Fix weight,0,4,-4,Chưa tạo phiếu KFM
BQI_11547,BQI,"=""11547""",HÀNH TÍM XAY 50G,Meat,Fix weight,0,16,-16,Chưa tạo phiếu KFM
BQI_8850393991940,BQI,"=""8850393991940""",BETAGEN - SỮA CHUA UỐNG HỖN HỢP LỐC 6X85ML,Meat,Fix weight,0,6,-6,Chưa tạo phiếu KFM
BQI_8850393919968,BQI,"=""8850393919968""",BETAGEN - SỮA CHUA UỐNG HƯƠNG TỰ NHIÊN 700ML,Meat,Fix weight,0,6,-6,Chưa tạo phiếu KFM
BQI_8850329536658,BQI,"=""8850329536658""",MEIJI - SỮA CHUA UỐNG ORIGINAL LỐC 4*85ML,Meat,Fix weight,0,2,-2,Chưa tạo phiếu KFM
BQI_11742,BQI,"=""11742""",MÍA TƯƠI CẮT KHÚC 500G,Meat,Fix weight,0,6,-6,Chưa tạo phiếu KFM
BQI_8936076271957,BQI,"=""8936076271957""",SAVOURE - BÁNH ỐC KEM 70G,Meat,Fix weight,0,1,-1,Chưa tạo phiếu KFM
BQI_8938505512167,BQI,"=""8938505512167""",SENTA - CỦ NĂNG TƯƠI GỌT VỎ 200G,Meat,Fix weight,0,2,-2,Chưa tạo phiếu KFM
BQI_11546,BQI,"=""11546""",HÀNH TÍM BÓC VỎ 100G,Meat,Fix weight,0,1,-1,Chưa tạo phiếu KFM
BQI_8936076278758,BQI,"=""8936076278758""",SAVOURE - BÁNH SU KEM SỮA CÀ PHÊ MUỐI 75G,Meat,Fix weight,0,1,-1,Chưa tạo phiếu KFM
BQI_11550,BQI,"=""11550""",TỎI HẢI DƯƠNG XAY 50G,Meat,Fix weight,0,21,-21,Chưa tạo phiếu KFM
BQI_11682,BQI,"=""11682""",BÔNG CẢI TRẮNG SƠ CHẾ 200G,Meat,Fix weight,0,2,-2,Chưa tạo phiếu KFM
BQI_8935335403436,BQI,"=""8935335403436""",THỌ PHÁT - BÁNH BAO THỊT HEO 2 TRỨNG CÚT 150G,Meat,Fix weight,0,8,-8,Chưa tạo phiếu KFM
BQI_8934673608824,BQI,"=""8934673608824""",VINAMILK - SCA TRÁI CÂY 100G,Meat,Fix weight,0,48,-48,Chưa tạo phiếu KFM
BQI_8850329003624,BQI,"=""8850329003624""",MEIJI - SỮA THANH TRÙNG LACTOSE FREE 946ML,Meat,Fix weight,0,6,-6,Chưa tạo phiếu KFM
BQI_8936243700006,BQI,"=""8936243700006""",HẢI ĐĂNG - CƠM NẮM BÒ PHÔ MAI CAY 123G,Meat,Fix weight,0,1,-1,Chưa tạo phiếu KFM
